strain	Albendazole_cv.EXT	Albendazole_cv.TOF	Albendazole_f.ad	Albendazole_f.L1	Albendazole_f.L2L3	Albendazole_f.L4	Albendazole_iqr.EXT	Albendazole_iqr.TOF	Albendazole_mean.EXT	Albendazole_mean.norm.EXT	Albendazole_mean.TOF	Albendazole_median.EXT	Albendazole_median.norm.EXT	Albendazole_median.TOF	Albendazole_n	Albendazole_norm.n	Albendazole_q10.EXT	Albendazole_q10.norm.EXT	Albendazole_q10.TOF	Albendazole_q25.EXT	Albendazole_q25.norm.EXT	Albendazole_q25.TOF	Albendazole_q75.EXT	Albendazole_q75.norm.EXT	Albendazole_q75.TOF	Albendazole_q90.EXT	Albendazole_q90.norm.EXT	Albendazole_q90.TOF	Albendazole_var.EXT	Albendazole_var.TOF
JU1934	-0.0848961475017198	-0.0758373803672949	-0.00461840528897667	-0.0498031597260127	0.011937314012302	0.0773645644873742	-184.849832918573	-48.4385295293964	-5.54365840482551	0.182127279957934	-8.17094297082401	107.302417283423	0.151514885382639	9.45174177588803	27.2684005185591	7.53330545726607	99.7535572759854	0.307978580738851	21.4293544612617	26.6249886768773	0.226734388502055	19.5613910270343	-153.687205516011	0.185349541274937	-36.6815438841257	-161.997400204141	0.141153349136791	-42.8711271078244	-73025.2616559719	-6643.60349906643
JU2007	-0.0320193695495172	-0.0369934186829088	0.038248375662993	-0.00465306617445639	-0.0445232063914991	0.0310036140267906	-30.7651452434167	-22.3830055488391	52.8900220653429	0.213295526929615	-1.64050745099289	83.1611832603963	0.411273257600251	1.67522335422912	-26.5507567158652	-10.4454615304633	2.99074412268636	0.0045372660445625	-2.49591884018387	52.5724763391832	0.103428940754557	5.41986503556701	-6.05976299616158	0.314885898498878	-8.43490838412602	-0.711934626321797	0.209764273405484	-9.91622368046841	-6924.39418371364	-3035.54493220732
JU2016	-0.00989687193484209	-0.0209252356299051	0.0245211391339068	0.00645967135663667	-0.0337885840783899	0.000228100087313433	62.8194172675545	0.966835768702627	21.1475667373112	0.128899514762152	-16.606716121102	-49.0868817396787	0.110265491361298	-16.8986405201477	-11.5059025050953	-5.59557442064459	0.648131463270668	-0.0315036717799074	1.86975261681322	11.0790899096867	-0.0468364818312465	-14.1202845915927	75.6616138632388	0.233410753436254	3.21438619797657	7.06757393119353	0.237853690087896	-16.5253148743098	-10885.3221872108	-2756.93869508146
JU2017	0.0556290179277074	0.0283532822793264	0.034838094780644	0.00598448809297965	-0.00378182916158673	-0.00394350452724006	90.0992158506864	16.0138499281357	18.62971628508	-0.0627346004589511	5.01812667674919	-82.6351950885623	0.00595647660025265	0.177271351478288	9.41574041923592	2.38170738347808	7.37135607715021	-0.0866545935534722	-3.51058793274124	-24.8048669328656	-0.0914237306405538	-2.52313297703293	41.1639977825037	0.111749406631418	14.5873214141771	173.773039535083	8.30771382207976e-05	31.6323426365042	62991.795562377	2579.73414730309
JU2131	-0.051745823872853	-0.0620418713857545	-0.012704224543205	-0.0129878114531646	0.0148266912301776	0.0200202570154717	6.47281198233561	9.97024867638586	-7.74217878218414	-0.0586484243406729	2.07112098882783	-7.189736054696	-0.0561720194694715	9.59404641689701	13.9364611479635	12.5634471142654	-6.55234015008384	-0.0921714942725465	-1.72844936244735	-45.214763206988	-0.162622156040046	-6.05219200276254	3.50495761131763	0.00233917595828936	0.526378999751692	-113.727164365339	-0.23400456061923	-27.6805668676092	-56611.8355967378	-3192.62382096717
JU2141	0.254525085343822	0.0871056856947814	-0.236701992725428	0.140006250237669	0.264012357392587	-0.155297864903367	-352.864633727361	-59.717826294948	-350.015481686505	-0.491402277053555	-95.6994708050682	-307.981011903119	-0.565989672158601	-92.6605854719934	-93.6777092427693	-30.8814029632926	-89.4077480972798	-0.318933530943087	-26.7416499956119	-200.77652268727	-0.434201035176281	-79.5961731983461	-541.046905569424	-0.673853406249005	-138.495107836453	-670.511956847031	-0.778462172546573	-141.370213387629	-112470.165546351	-8686.89925802872
JU2250	-0.119875761246417	-0.0441174945790476	-0.00191648507661169	-0.0211564883348332	-0.0476637323271698	0.0116643146778381	-78.3750199363563	-17.5790060866749	29.83141518714	0.178452819701643	4.13358959882074	82.2000145036885	0.170237987601937	9.41379485216666	25.3271227013012	6.70752396974253	47.6969278708753	0.171645822121349	8.07142949600368	82.8440627934259	0.245947698686042	20.2143477943641	-3.54666988658091	0.0927352207208659	-0.191035313707157	31.1134849129861	0.0479550354617668	-4.15119156150559	-38684.1617389017	-1640.93272317401
JU2257	0.0371697904322082	-0.00330437183779098	-0.0601192029699004	-0.0163694906357454	0.0530425033770504	0.00781980383049881	-190.0081881689	-31.2578517026244	-95.3851932586617	-0.114122777789049	-17.1341061134475	-61.6901435753844	-0.108902028567322	-16.2820238841471	-19.159047008329	-10.8892252706825	9.34635063797991	0.0548467903412329	4.17608739597243	8.75545826259097	0.063822073334431	2.394635359271	-183.88947493929	-0.309561770777981	-31.1966257894803	-261.299121009393	-0.242259206535109	-43.7190603938137	-78685.386372885	-2744.7735972922
JU2464	0.112264722550143	0.0317060642421242	-0.0689499367642336	-0.000701658350069064	0.120342281464779	-0.0492886648255018	-41.9930607310386	-10.4649330168866	-90.1354507672542	-0.286009403136473	-15.2533625012299	-97.6791684136189	-0.451182358921546	-24.4782285998646	48.4143321737157	15.4214269582593	-30.3514423540175	-0.178745624418655	-2.17313259114457	-38.1340071014548	-0.24888582476641	-8.73179919709792	-92.5220863333946	-0.613179512367642	-21.3922873121539	-164.373865903117	-0.439806044908557	-18.2478801086546	14428.7262136119	496.210969251562
JU2466	-0.0623453959390931	-0.0260768027531466	0.0118504671181563	0.0164179431877209	-0.00689931143314848	0.0163588787495376	-86.124005492793	-23.0175328280532	72.0862360588676	0.316937467255779	0.478319954063934	78.2627904023721	0.452642016891067	14.2155909725854	-83.5946911131301	-28.9834978714854	-8.19761945016553	0.0914413984733444	-7.47711938415145	49.2141537744291	0.186765692180505	2.67826579249153	21.6644203435522	0.36232968629635	-3.94417000630847	36.2115827154686	0.384376875877065	-20.1650073120432	-20171.0004349532	-2515.68273308018
