isotype	I	II	III	IV	V	X
ECA1238	0	0	0	0	0	0
ECA1240	0	0	0	0	0	0
ECA1242	0	0	0	0	0	0
ECA1243	0	0	0	0	0	0
ECA1247	0	0	0	0	0	0
ECA1251	0	0	0	0	0	0
ECA1252	0	0	0	0	0	0
ECA1253	0	0	0	0	0	0
ECA1255	0	0	0	0	0.0517123673127867	0
ECA1257	0.249844743077254	0	0	0	0.0820914230046568	0
ECA1260	0	0	0	0	0	0
ECA1261	0	0	0	0	0	0
ECA1269	0	0	0	0	0	0
ECA1271	0	0	0	0	0	0
ECA1276	0	0	0	0	0	0
ECA1278	0	0	0	0	0	0
ECA1281	0	0	0	0	0	0
ECA1283	0	0	0	0	0	0
ECA1284	0	0	0	0	0	0
ECA1286	0	0	0	0	0	0
ECA1287	0	0	0	0	0	0
ECA1288	0	0	0	0	0	0
ECA1289	0	0	0	0	0	0
ECA1293	0	0	0	0	0	0
ECA1298	0.249844743077254	0	0	0	0	0
ECA1316	0.432757076891617	0	0.181468743811086	0.718408954082898	0.975033370867077	0.521720784673546
ECA1409	0.24565683816398	0	0	0	0	0
ECA1413	0.345740657323	0	0	0.103680104225386	0.399183054352725	0.119218355566594
ECA1493	0	0	0	0	0	0
ECA1693	0.158348654383588	0	0	0	0.168260725255388	0
ECA1713	0	0	0	0	0	0
ECA1717	0	0	0	0	0	0
ECA1725	0	0	0	0	0	0
ECA1751	0.249844743077254	0	0	0	0	0
ECA1757	0	0	0	0	0	0
ECA1761	0	0	0	0	0	0
ECA1769	0	0	0	0	0	0
ECA1793	0	0	0	0	0	0
ECA1805	0.158348654383588	0	0	0	0.168260725255388	0
ECA1807	0	0	0	0	0	0
ECA1815	0.158348654383588	0	0	0	0.246975452356651	0
ECA1821	0	0	0	0	0	0
ECA1825	0.201678228277089	0	0	0	0	0
ECA1843	0	0	0	0	0	0
ECA1851	0	0	0	0	0	0
ECA1853	0.158348654383588	0	0	0	0	0
ECA1875	0.158348654383588	0	0	0	0.168260725255388	0
ECA1885	0	0	0	0	0	0
ECA1887	0	0	0	0	0.168260725255388	0
ECA1889	0.249844743077254	0	0	0	0.168260725255388	0
ECA189	0.234833288544385	0	0	0	0.168260725255388	0.0870767218310841
